trip_id,service_id,route_id,trip_headsign,trip_short_name,direction_id,shape_id
1163_1000001_26_3_194000,3,26,CEYRAT Mairie,,1,2533425114923649
1023_1000007_A_VE.PG_181700,10,A,La Pardieu Gare,,0,2533425114923570
1142_1000013_C_CA.DC_134100,24,C,DURTOL Clinique,,0,2533425114923565
887_1000004_L45_7_171400,9,L45,La Baraque,,1,2533425114923787
988_1000008_A_PG.VE_124800,31,A,Les Vergnes,,1,2533425114923567
886_1000007_L42_12_133500,5,L42,Docteur Royet,,1,2533425114923777
925_1000002_08BA.VA_142200,1,8,Vallières,,0,2533425114923594
1107_1000003_A_PG.VE_131000,36,A,Les Vergnes,,1,2533425114923567
1163_1000001_7_4_142500,3,7,Charles Tillon,,1,2533425114923674
946_1000002_C_CA.DC_151600,1,C,DURTOL Clinique,,0,2533425114923565
1163_1000001_34CP.CG_121400,3,34,COURNON Le Gergovie,,1,2533425114923663
925_1000002_4_6_150200,1,4,CEYRAT Libération,,0,2533425114923584
1132_1000001_08MC.BA_131700,3,8,"BEAUMONT Pl. d'Armes",,1,2533425114923595
1165_1000002_38_3_180000,1,38,LEMPDES Le Pontel,,0,2533425114923668
1163_1000001_L28_2_090000,3,L28,ARGNAT Le Mas,,1,2533425114923677
946_1000002_B_RA.JV_110700,1,B,Jules Verne,,1,2533425114923564
946_1000002_C_DC.CA_055400,1,C,COURNON Allier,,1,2533425114923566
1165_1000002_L28_2_110400,1,L28,ARGNAT Le Mas,,1,2533425114923677
925_1000002_4_6_160200,1,4,CEYRAT Libération,,0,2533425114923584
1132_1000001_03VI.AR_114300,3,3,AUBIÈRE Pl. des Ramacles,,0,2533425114923574
925_1000002_21_5_093000,1,21,Lycée La Fayette,,0,2533425114923575
1132_1000001_13_4_120000,3,13,PÉRIGNAT-LES-SARLIEVE Les Horts,,1,2533425114923611
1017_1000001_C_DC.CA_105800,23,C,COURNON Allier,,1,2533425114923566
1132_1000001_23CP.LL_155200,3,23,Lycée La Fayette,,0,2533425114923621
1023_1000007_A_PG.VE_080100,10,A,Les Vergnes,,1,2533425114923567
925_1000002_05RA.RP_161900,1,5,ROYAT AvanC-Breuil,,0,2533425114923589
1165_1000002_31_2_162600,1,31,Champratel,,0,2533425114923661
1017_1000001_C_CA.DC_060300,3,C,DURTOL Clinique,,0,2533425114923565
1136_1000012_A_VE.PG_162800,32,A,La Pardieu Gare,,0,2533425114923570
988_1000008_A_VE.PG_105000,31,A,La Pardieu Gare,,0,2533425114923570
1017_1000001_B_2_073800,3,B,AULNAT St Exupéry,,1,2533425114923562
925_1000002_03VI.AR_111400,1,3,AUBIÈRE Pl. des Ramacles,,0,2533425114923574
1123_1000003_B_RA.JV_065800,2,B,Jules Verne,,1,2533425114923564
1023_1000007_A_VE.PG_130800,10,A,La Pardieu Gare,,0,2533425114923570
925_1000002_03AR.GC_083000,1,3,GERZAT Champfleuri,,1,2533425114923571
1115_1000003_21_5_202400,2,21,Lycée La Fayette,,0,2533425114923575
1115_1000003_9_3_165300,2,9,Trémonteix Paul Eychart,,0,2533425114923587
1132_1000001_13QC.HC_103600,3,13,Hauts de CHAMALIÈRES,,0,2533425114923617
1142_1000013_C_DC.CA_070800,24,C,COURNON Allier,,1,2533425114923566
925_1000002_10_3_114400,1,10,Jules Verne,,1,2533425114923600
1132_1000001_24BC.CH_134300,3,24,Champratel,,0,2533425114923623
1156_1000003_27LF.RG_114000,2,27,ROMAGNAT Gergovia,,0,2533425114923638
1142_1000013_C_CA.DC_082700,24,C,DURTOL Clinique,,0,2533425114923565
925_1000002_9_5_140800,1,9,Trémonteix Paul Eychart,,0,2533425114923636
1142_1000013_C_DC.CA_175700,24,C,COURNON Allier,,1,2533425114923566
1023_1000007_A_VE.PG_125300,10,A,La Pardieu Gare,,0,2533425114923570
1165_1000002_27LF.RG_160700,1,27,ROMAGNAT Gergovia,,0,2533425114923638
1115_1000003_21_6_140800,2,21,CÉBAZAT CHU L. Michel,,1,2533425114923576
1163_1000001_NP_AR.BC_084000,3,N-P,AUBIÈRE Le Prat - Bâtiment C,,0,2533425114923688
925_1000002_05RP.GA_123000,1,5,Gaillard,,1,2533425114923590
1115_1000003_9_4_140800,2,9,LEMPDES Le Pontel,,1,2533425114923588
1115_1000003_21_7_102500,2,21,Lycée La Fayette,,0,2533425114923577
1163_1000001_27LF.RG_222500,7,27,ROMAGNAT Gergovia,,0,2533425114923638
883_1000001_L40_11_171000,9,L40,Grassette,,1,2533425114923706
751_1000001_L34_1_010000,8,L34,Gaillard,,0,2533425114923692
1163_1000001_40_2_131000,3,40,CHAMALIÈRES Aristide Briand,,0,2533425114923643
1132_1000001_13_4_160100,3,13,PÉRIGNAT-LES-SARLIEVE Les Horts,,1,2533425114923611
1136_1000012_A_PG.VE_112900,32,A,Les Vergnes,,1,2533425114923567
925_1000002_23_1_184100,1,23,"COURNON Plan d'Eau",,1,2533425114923620
946_1000002_C_CA.DC_175700,1,C,DURTOL Clinique,,0,2533425114923565
1142_1000013_B_RA.JV_144900,24,B,Jules Verne,,1,2533425114923564
1132_1000001_03AR.GC_170700,3,3,GERZAT Champfleuri,,1,2533425114923571
1136_1000012_A_VE.PG_122400,32,A,La Pardieu Gare,,0,2533425114923570
1023_1000007_A_CH.PG_041600,30,A,La Pardieu Gare,,0,2533425114923569
1023_1000007_A_PG.VE_075000,10,A,Les Vergnes,,1,2533425114923567
1132_1000001_23CP.LL_164400,3,23,Lycée La Fayette,,0,2533425114923621
925_1000002_4_6_140200,1,4,CEYRAT Libération,,0,2533425114923584
925_1000002_4_7_114700,1,4,BEAUMONT Pont de Boisséjour,,0,2533425114923632
925_1000002_12RS.PI_105300,1,12,Les Pistes,,1,2533425114923609
925_1000002_12RS.PI_112000,1,12,Les Pistes,,1,2533425114923609
925_1000002_05RP.RA_103700,1,5,ROYAT Pl. Allard,,1,2533425114923591
1165_1000002_27RG.LF_145100,1,27,Lycée La Fayette,,1,2533425114923639
883_1000001_L55_1_072500,10,L55,Collège Marc Bloch,,0,2533425114923769
1132_1000001_4_13_080200,3,4,Trémonteix Charcot,,1,2533425114923583
1163_1000001_37_1_191300,3,37,PÉRIGNAT-ÈS-ALLIER La Garde,,0,2533425114923664
1136_1000012_A_PG.VE_090700,32,A,Les Vergnes,,1,2533425114923567
1123_1000003_C_DC.CA_110000,2,C,COURNON Allier,,1,2533425114923566
925_1000002_10_6_125400,1,10,Tamaris,,0,2533425114923603
925_1000002_05RP.GA_204000,1,5,Gaillard,,1,2533425114923590
1132_1000001_12RS.PI_164600,3,12,Les Pistes,,1,2533425114923609
1136_1000012_A_VE.PG_131000,32,A,La Pardieu Gare,,0,2533425114923570
1156_1000003_27RG.LF_162600,2,27,Lycée La Fayette,,1,2533425114923639
1136_1000012_A_PG.VE_151700,32,A,Les Vergnes,,1,2533425114923567
1023_1000007_A_VE.PG_113700,3,A,La Pardieu Gare,,0,2533425114923570
1142_1000013_C_CA.DC_095900,24,C,DURTOL Clinique,,0,2533425114923565
946_1000002_B_RA.JV_153000,1,B,Jules Verne,,1,2533425114923564
925_1000002_05RP.RA_135000,1,5,ROYAT Pl. Allard,,1,2533425114923591
1156_1000003_36PS.PH_143300,2,36,PONT-DU-CHÂTEAU Chambon Haut,,1,2533425114923641
1132_1000001_10_8_162100,3,10,Tamaris,,0,2533425114923605
1165_1000002_34CP.CG_155400,1,34,COURNON Le Gergovie,,1,2533425114923663
925_1000002_21_5_170000,1,21,Lycée La Fayette,,0,2533425114923575
1165_1000002_27LF.RG_133000,1,27,ROMAGNAT Gergovia,,0,2533425114923638
946_1000002_C_CA.DC_190300,1,C,DURTOL Clinique,,0,2533425114923565
